name,url,description,stars,forks,language,created_at,updated_at
fengyunkkx/FolderIconTool,https://github.com/fengyunkkx/FolderIconTool,One tool for Windows folder icon batch modify. | 一个批量修改 Windows 文件夹图标的小工具。,151,17,Python,2017-10-30T12:37:23Z,2025-10-15T09:31:35Z
C0nw0nk/SteamCMD-AutoUpdate-Any-Gameserver,https://github.com/C0nw0nk/SteamCMD-AutoUpdate-Any-Gameserver,Windows SteamCMD to autoupdate and install any game server steam cmd settings configurable lots of useful features. This batch script will keep your game servers automaticly updated updating intervals announce the server is shutting down for updates etc all configurable.,150,29,Batchfile,2015-05-01T23:34:22Z,2025-10-26T13:26:39Z
ricardorodrigues-ca/zoom-recording-downloader,https://github.com/ricardorodrigues-ca/zoom-recording-downloader,Downloads and organizes all cloud recordings from your Zoom Business account,150,73,Python,2020-04-26T04:57:53Z,2025-10-07T19:08:27Z
JaredCabot/OneDrive-Uninstaller,https://github.com/JaredCabot/OneDrive-Uninstaller,Batch script to completely uninstall OneDrive in Windows 10,147,41,Batchfile,2016-07-22T15:31:39Z,2025-10-14T08:23:54Z
AxtMueller/Windows-Batch-Deployment,https://github.com/AxtMueller/Windows-Batch-Deployment,A programmable and rootkit-like Windows remote access tool.,145,52,,2020-03-18T17:21:28Z,2025-10-07T11:30:58Z
KnightDanila/BAT_FFMPEG,https://github.com/KnightDanila/BAT_FFMPEG,"Batch script files for FFMPEG (Microsoft Windows and DOS, OS/2 :unicorn:)",136,30,Batchfile,2018-08-24T15:01:55Z,2025-10-15T09:31:39Z
happy05dz/Batch-Script-Collection,https://github.com/happy05dz/Batch-Script-Collection,"Collection of Batch scripts, examples and some details for various commands are considered.",129,22,Batchfile,2017-05-09T13:25:06Z,2025-10-15T09:31:30Z
PassingTheKnowledge/Batchography,https://github.com/PassingTheKnowledge/Batchography,Scripts and snippets from the Batchography book,125,61,Batchfile,2016-05-11T02:18:46Z,2025-10-04T13:55:14Z
m2nlight/WindowsServerToWindowsDesktop,https://github.com/m2nlight/WindowsServerToWindowsDesktop,"A bat script to auto config Windows Server 2016 to ""Windows Desktop""",125,40,Batchfile,2016-11-11T08:52:58Z,2025-07-04T12:07:21Z
jonstephens85/instantngp-batch,https://github.com/jonstephens85/instantngp-batch,Batch files to quickly prepare images and train a NeRF using Instant-NGP. This project only works for Instant-NGP Binaries on Windows.,122,8,Batchfile,2023-01-06T16:30:24Z,2025-10-06T13:17:44Z
Pyenb/Outlook-desktop-ad-blocker,https://github.com/Pyenb/Outlook-desktop-ad-blocker,A simple script that patches your systems hosts file to stop the Outlook desktop client from displaying ads in your inbox.,119,4,Batchfile,2023-08-14T19:44:26Z,2025-10-28T07:44:38Z
ibrahimtonca/35-Different-Commands-to-Make-IT-Professionals-Work-Easier-All-in-One-Bat-File-,https://github.com/ibrahimtonca/35-Different-Commands-to-Make-IT-Professionals-Work-Easier-All-in-One-Bat-File-,,117,16,Batchfile,2024-11-17T13:54:48Z,2025-10-03T09:02:10Z
gatoslu/KMS-VL-ALL-CMD,https://github.com/gatoslu/KMS-VL-ALL-CMD,Online/Offline KMS Activator for Microsoft Windows/Office/VisualStudio VL Products,113,38,Batchfile,2018-05-31T15:36:41Z,2025-09-22T22:23:08Z
YasserDRIF/Toggle-Tweaker,https://github.com/YasserDRIF/Toggle-Tweaker,"A script for windows 10 with purpose of tweaking your windows install by removing stuff like windows apps _ Cortana _ Edge, you can also tweak the personalization settings that are hidden and almost everything have a restore option",111,20,Batchfile,2017-01-17T18:01:17Z,2025-10-27T11:02:29Z
Serede/mkvtoolnix-batch,https://github.com/Serede/mkvtoolnix-batch,Windows Batch script to automate batch processing using mkvtoolnix.,107,13,Batchfile,2017-12-19T21:51:03Z,2025-10-28T17:34:12Z
Zusier/Zusiers-optimization-Batch,https://github.com/Zusier/Zusiers-optimization-Batch,"The open source batch file that gives efforts to boost system performance, latency, and stability.",105,12,Batchfile,2020-03-14T16:38:46Z,2025-10-23T07:44:07Z
gameclamp/MangaMeeyaAssociations,https://github.com/gameclamp/MangaMeeyaAssociations,在图片、压缩包和文件夹右键菜单加入MangaMeeya调用项。将bat放在MangaMeeya文件夹下运行。,98,8,Batchfile,2017-05-28T08:49:27Z,2025-06-15T00:43:30Z
K3V1991/ADBKit,https://github.com/K3V1991/ADBKit,Pure ADB (Android Debug Bridge) with Batch Script to easily open a CMD Window,97,16,Batchfile,2022-05-23T12:38:35Z,2025-10-16T08:37:52Z
warengonzaga/wrn-cleaner,https://github.com/warengonzaga/wrn-cleaner,A free maintenance tool that can automatically or manually clean up your Windows machine in a simple and reliable way. 😉💻🧹,93,13,Batchfile,2017-11-22T23:45:31Z,2025-10-09T09:26:29Z
SwiftOnSecurity/OfficeDeployFramework,https://github.com/SwiftOnSecurity/OfficeDeployFramework,A batch script to demonstrate complex Microsoft Office deployments,92,10,Batchfile,2018-03-22T20:33:03Z,2025-05-16T00:10:06Z
carlospolop/winPE,https://github.com/carlospolop/winPE,Windows privilege escalation with cmd,90,31,Batchfile,2019-02-11T19:05:58Z,2025-10-14T10:03:25Z
