category,created_at,description,forks,language,name,quality_score,stars,updated_at,url
Security & Privacy Tools,2024-10-24T23:08:26Z,Simple batch script that automates blocking apps from accessing internet using windows inbuilt firewall,31,Batchfile,ph33nx/WinMasterBlocker,0.563,266,2025-10-31T18:07:40Z,https://github.com/ph33nx/WinMasterBlocker
Security & Privacy Tools,2024-10-24T23:08:26Z,Simple batch script that automates blocking apps from accessing internet using windows inbuilt firewall,31,Batchfile,ph33nx/WinMasterBlocker,0.563,266,2025-10-31T18:07:40Z,https://github.com/ph33nx/WinMasterBlocker
Security & Privacy Tools,2024-10-24T23:08:26Z,Simple batch script that automates blocking apps from accessing internet using windows inbuilt firewall,31,Batchfile,ph33nx/WinMasterBlocker,0.563,266,2025-10-31T18:07:40Z,https://github.com/ph33nx/WinMasterBlocker
,,Windows 10/11 hardening scripts,,,atlantsecurity/windows-hardening-scripts,,253,,https://github.com/atlantsecurity/windows-hardening-scripts
,,"🪐 Perfect Windows 11: A Portal to Windows 11 Settings, Optimizations, and Scripts",,,Jisll/windows11,,248,,https://github.com/Jisll/windows11
,,Open Source Tweaker made to improve system performance and lower system latency.,,,ancel1x/Ancels-Performance-Batch,,239,,https://github.com/ancel1x/Ancels-Performance-Batch
,,Open Source Tweaker made to improve system performance and lower system latency.,,,ancel1x/Ancels-Performance-Batch,,239,,https://github.com/ancel1x/Ancels-Performance-Batch
,,a little batch file that permanently removes the Outlook (New) app from Windows 10/11,,,matej137/OutlookRemover,,235,,https://github.com/matej137/OutlookRemover
,,"Need for Speed Heat, CPU 90-100% load fix (script, windows)",,,Octanium91/NFS_Heat_CPU_Load_FIX,,233,,https://github.com/Octanium91/NFS_Heat_CPU_Load_FIX
,,"KISS batch script to easily convert PNG, GIF, BMP, SVG or JPG images to multi-resolution ICO files using ImageMagick.",,,FoxP/PNG-to-ICO,,232,,https://github.com/FoxP/PNG-to-ICO
,,Build Aseprite executable for Windows using Docker :space_invader::whale2:,,,eddex/aseprite-windows-docker-build,,229,,https://github.com/eddex/aseprite-windows-docker-build
Uncategorized,2021-10-24T00:36:27Z,Manage your PlayStation 2/PSX DESR HDD,14,Batchfile,GDX-X/PFS-BatchKit-Manager,0.49,225,2025-11-02T12:36:34Z,https://github.com/GDX-X/PFS-BatchKit-Manager
Uncategorized,2021-10-24T00:36:27Z,Manage your PlayStation 2/PSX DESR HDD,14,Batchfile,GDX-X/PFS-BatchKit-Manager,0.49,225,2025-11-02T12:36:34Z,https://github.com/GDX-X/PFS-BatchKit-Manager
Uncategorized,2021-10-24T00:36:27Z,Manage your PlayStation 2/PSX DESR HDD,14,Batchfile,GDX-X/PFS-BatchKit-Manager,0.49,225,2025-11-02T12:36:34Z,https://github.com/GDX-X/PFS-BatchKit-Manager
,,Various batch files for Windows,,,Espionage724/Windows,,218,,https://github.com/Espionage724/Windows
,,Windows batch file to perform unattended installations of a portable Cygwin environment.,,,vegardit/cygwin-portable-installer,,199,,https://github.com/vegardit/cygwin-portable-installer
,,This script reset the Windows Update Components.,,,ManuelGil/Script-Reset-Windows-Update-Tool,,196,,https://github.com/ManuelGil/Script-Reset-Windows-Update-Tool
,,A Windows batch file that tries Windows activation keys found around the internet. ,,,prestonsn/windows-10-activation-script,,186,,https://github.com/prestonsn/windows-10-activation-script
,,A Windows batch file that tries Windows activation keys found around the internet. ,,,prestonsn/windows-10-activation-script,,186,,https://github.com/prestonsn/windows-10-activation-script
Network & Internet Tools,2015-10-28T05:41:07Z,常用批处理,67,Batchfile,auspbro/batch-snippets,0.472,179,2025-09-23T02:58:41Z,https://github.com/auspbro/batch-snippets
Network & Internet Tools,2015-10-28T05:41:07Z,常用批处理,67,Batchfile,auspbro/batch-snippets,0.472,179,2025-09-23T02:58:41Z,https://github.com/auspbro/batch-snippets
Network & Internet Tools,2015-10-28T05:41:07Z,常用批处理,67,Batchfile,auspbro/batch-snippets,0.472,179,2025-09-23T02:58:41Z,https://github.com/auspbro/batch-snippets
,,This script reset the Windows Update Components.,,,wureset-tools/script-wureset,,159,,https://github.com/wureset-tools/script-wureset
,,Windows 11 Scripts,,,shoober420/windows11-scripts,,158,,https://github.com/shoober420/windows11-scripts
,,"A simple script to switch Windows 10 & Windows 11 version, supports Home & Pro & Education & Enterprise x Retail & VL.",,,TerryHuangHD/Windows10-VersionSwitcher,,156,,https://github.com/TerryHuangHD/Windows10-VersionSwitcher
,,Batch script to completely uninstall OneDrive in Windows 10,,,JaredCabot/OneDrive-Uninstaller,,150,,https://github.com/JaredCabot/OneDrive-Uninstaller
,,"Batch script files for FFMPEG (Microsoft Windows and DOS, OS/2 :unicorn:)",,,KnightDanila/BAT_FFMPEG,,132,,https://github.com/KnightDanila/BAT_FFMPEG
,,"Batch script files for FFMPEG (Microsoft Windows and DOS, OS/2 :unicorn:)",,,KnightDanila/BAT_FFMPEG,,132,,https://github.com/KnightDanila/BAT_FFMPEG
,,"Collection of Batch scripts, examples and some details for various commands are considered.",,,happy05dz/Batch-Script-Collection,,132,,https://github.com/happy05dz/Batch-Script-Collection
,,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",,,Batlez/Batlez-Tweaks,,129,,https://github.com/Batlez/Batlez-Tweaks
,,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",,,Batlez/Batlez-Tweaks,,129,,https://github.com/Batlez/Batlez-Tweaks
,,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",,,Batlez/Batlez-Tweaks,,129,,https://github.com/Batlez/Batlez-Tweaks
,,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",,,Batlez/Batlez-Tweaks,,129,,https://github.com/Batlez/Batlez-Tweaks
,,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",,,Batlez/Batlez-Tweaks,,129,,https://github.com/Batlez/Batlez-Tweaks
,,A simple batch file to activate Microsoft Office 2016,,,LintangWisesa/Microsoft_Office_2016_Activator,,128,,https://github.com/LintangWisesa/Microsoft_Office_2016_Activator
,,"A bat script to auto config Windows Server 2016 to ""Windows Desktop""",,,m2nlight/WindowsServerToWindowsDesktop,,125,,https://github.com/m2nlight/WindowsServerToWindowsDesktop
,,"A bat script to auto config Windows Server 2016 to ""Windows Desktop""",,,m2nlight/WindowsServerToWindowsDesktop,,125,,https://github.com/m2nlight/WindowsServerToWindowsDesktop
,,Scripts and snippets from the Batchography book,,,PassingTheKnowledge/Batchography,,123,,https://github.com/PassingTheKnowledge/Batchography
,,Some settings stolen from multiple scripts @ZephrFish,,,ZephrFish/WindowsHardeningScript,,121,,https://github.com/ZephrFish/WindowsHardeningScript
,,Batch files to quickly prepare images and train a NeRF using Instant-NGP. This project only works for Instant-NGP Binaries on Windows.,,,jonstephens85/instantngp-batch,,120,,https://github.com/jonstephens85/instantngp-batch
,,"The open source batch file that gives efforts to boost system performance, latency, and stability. ",,,Zusier/Zusiers-optimization-Batch,,117,,https://github.com/Zusier/Zusiers-optimization-Batch
,,Windows Batch script to automate batch processing using mkvtoolnix.,,,Serede/mkvtoolnix-batch,,106,,https://github.com/Serede/mkvtoolnix-batch
,,A free maintenance tool that can automatically or manually clean up your Windows machine in a simple and reliable way. 😉💻🧹,,,warengonzaga/wrn-cleaner,,99,,https://github.com/warengonzaga/wrn-cleaner
,,A free maintenance tool that can automatically or manually clean up your Windows machine in a simple and reliable way. 😉💻🧹,,,warengonzaga/wrn-cleaner,,99,,https://github.com/warengonzaga/wrn-cleaner
,,Pure ADB (Android Debug Bridge) with Batch Script to easily open a CMD Window,,,K3V1991/ADBKit,,96,,https://github.com/K3V1991/ADBKit
,,some scripts for windows,,,daboynb/windows_scripts,,95,,https://github.com/daboynb/windows_scripts
,,Batch file to help automate Windows enumeration for privilege escalation,,,azmatt/windowsEnum,,89,,https://github.com/azmatt/windowsEnum
,,Video converter scripts for Windows to multiple formats (with ffmpeg),,,ManzDev/video-converter-scripts,,89,,https://github.com/ManzDev/video-converter-scripts
,,Batch script to compile a binary shellcode blob into an exe file,,,repnz/shellcode2exe,,86,,https://github.com/repnz/shellcode2exe
,,"PDQ Deploy Scripts, Tools, Utilities ... For IT daily Administration",,,wizz13150/PDQ_Repo,,85,,https://github.com/wizz13150/PDQ_Repo
,,lftp for Windows - Windows task scheduler automation with push notifications via WinSCP custom commands.,,,userdocs/LFTP4WIN,,85,,https://github.com/userdocs/LFTP4WIN
,,"PDQ Deploy Scripts, Tools, Utilities ... For IT daily Administration",,,wizz13150/PDQ_Repo,,85,,https://github.com/wizz13150/PDQ_Repo
,,A simple Script capable of optimizing and repairing almost any error that may occur on your Windows computer,,,Ec-25/FixIt,,84,,https://github.com/Ec-25/FixIt
,,A simple Script capable of optimizing and repairing almost any error that may occur on your Windows computer,,,Ec-25/FixIt,,84,,https://github.com/Ec-25/FixIt
,,"Autotuner Windows 10 for awesome perfomance setting, privacy and security.",,,SeregaSPb/Windows-10-batch-optimizer,,82,,https://github.com/SeregaSPb/Windows-10-batch-optimizer
,,Windows 11 Activator,,,virusfreak7/Windows11-activator-script-,,81,,https://github.com/virusfreak7/Windows11-activator-script-
,,Easy-to-use Windows HWID/KMS38 Activation Script.,,,akhilnathe/winactivate,,78,,https://github.com/akhilnathe/winactivate
,,"Combined Windows Privacy Utilities | Hosts file updater, block list manager, and more. Open source tools for Windows users, to help ensure privacy & security. Block ads, spyware domains, and other malicious activity/traffic, all through a simple interface.",,,bongochong/CWP-Utilities,,77,,https://github.com/bongochong/CWP-Utilities
,,"Combined Windows Privacy Utilities | Hosts file updater, block list manager, and more. Open source tools for Windows users, to help ensure privacy & security. Block ads, spyware domains, and other malicious activity/traffic, all through a simple interface.",,,bongochong/CWP-Utilities,,77,,https://github.com/bongochong/CWP-Utilities
,,Some basic batch scripts,,,geekcomputers/Batch,,77,,https://github.com/geekcomputers/Batch
,,"Combined Windows Privacy Utilities | Hosts file updater, block list manager, and more. Open source tools for Windows users, to help ensure privacy & security. Block ads, spyware domains, and other malicious activity/traffic, all through a simple interface.",,,bongochong/CWP-Utilities,,77,,https://github.com/bongochong/CWP-Utilities
,,A batch file full of useful tools to use for Quest 1 and 2!,,,mitchv2020/QuestToolbox,,75,,https://github.com/mitchv2020/QuestToolbox
,,An executable cmd batch script that 100% Disables Windows 10 Update.,,,TarikSeyceri/Windows-10-Update-Disabler.bat,,73,,https://github.com/TarikSeyceri/Windows-10-Update-Disabler.bat
,,Simple batch files for simplifying basic usage of https://github.com/rg3/youtube-dl Windows .exe releases,,,edinsuta/youtube-dl-batch,,72,,https://github.com/edinsuta/youtube-dl-batch
,,Tools for Windows 10,,,leetfin/Windows10Tools,,71,,https://github.com/leetfin/Windows10Tools
,,:shell: Various batch files (descriptions are in the read me file),,,Archive-projects/Batch-File-examples,,66,,https://github.com/Archive-projects/Batch-File-examples
,, A batch script for convert video to GIF files by FFmpeg.exe on Windows,,,NabiKAZ/video2gif,,65,,https://github.com/NabiKAZ/video2gif
,,PsExec batch file but better,,,EbolaMan-YT/PsExec,,52,,https://github.com/EbolaMan-YT/PsExec
,,This repo contains multiple scripts to optimize windows 10,,,tcja/Windows-10-tweaks,,50,,https://github.com/tcja/Windows-10-tweaks
,,Batch script to activate Windows 10 Pro for free (requires an unlicensed installation of Windows 10).,,,danielj0nes/Activate-Windows10-Pro-Script,,50,,https://github.com/danielj0nes/Activate-Windows10-Pro-Script
,,This repo contains multiple scripts to optimize windows 10,,,tcja/Windows-10-tweaks,,50,,https://github.com/tcja/Windows-10-tweaks
,,Free PC optimizer written in C++ and batch to give your computer a performance boost. Includes a intuitive GUI and simple settings.,,,UnLovedCookie/CoutX,,49,,https://github.com/UnLovedCookie/CoutX
